State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,crop
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,2.5,4000,4000,4000.0,18-Oct-23,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,0.5,8000,8000,8000.0,17-Jul-23,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,8,8000,8200,8100.0,16-Jul-23,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,2.5,6000,6500,6250.0,16-May-23,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,9,6500,7000,6550.0,22-Mar-23,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,27,6490,6500,6495.0,10-Nov-22,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,60,5875,6550,6212.0,07-Oct-22,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,30,6350,6400,6375.0,29-Sep-22,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,7.5,5800,6000,5900.0,23-Sep-22,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,30,6100,6200,6150.0,14-Sep-22,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,4.2,6500,7000,6750.0,21-Aug-22,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,8,6500,7000,6750.0,18-Aug-22,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,5.5,5590,5600,5595.0,17-Jul-22,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,9,5075,5100,5087.0,14-Jul-22,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,30,5250,5350,5300.0,28-Jun-22,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,10,5100,5200,5150.0,23-Jun-22,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,25.4,5090,5200,5145.0,11-Jun-22,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,28.6,5200,5300,5250.0,25-May-22,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,34.6,5200,5300,5250.0,21-May-22,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,25.2,5100,5200,5150.0,19-May-22,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,32,5080,5200,5140.0,16-May-22,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,31.6,5300,5350,5325.0,12-May-22,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,34,5000,5200,5100.0,07-May-22,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,25,5100,5410,5305.0,06-May-22,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,23,5250,5300,5275.0,04-May-22,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,34.6,5150,5300,5225.0,03-May-22,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,10,5100,5110,5105.0,29-Apr-22,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,13,4800,5200,5000.0,24-Apr-22,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,66.8,5200,5300,5250.0,23-Apr-22,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,69.8,5200,5500,5350.0,20-Apr-22,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,40,5000,5200,5100.0,18-Apr-22,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,33.6,5425,5600,5512.0,16-Apr-22,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,26.4,5450,5550,5500.0,12-Apr-22,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,7.46,5000,5050,5025.0,10-Apr-22,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,24.8,5350,5500,5425.0,09-Apr-22,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,28.3,4800,5000,4900.0,08-Apr-22,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,12,4990,5050,5020.0,25-Mar-22,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,33.4,5000,5100,5050.0,11-Mar-22,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,3.4,5000,5200,5100.0,10-Feb-22,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,10,5350,5410,5400.0,04-Feb-22,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,1.5,4600,4600,4600.0,21-Dec-21,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,3,4800,4810,4805.0,26-Oct-21,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,5,4800,4900,4850.0,25-Oct-21,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,6.5,4900,5000,4915.0,21-Oct-21,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,20,4800,5000,4900.0,20-Oct-21,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,14,5350,5400,5375.0,12-Oct-21,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,5,5600,5700,5650.0,26-Jul-21,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,25,6200,6350,6275.0,15-Mar-21,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,6.3,6250,6310,6305.0,09-Mar-21,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,10,6200,6300,6250.0,28-Feb-21,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,24,3690,3710,3700.0,27-Feb-20,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,34.8,3900,4050,3975.0,23-Feb-20,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,26.7,3985,4100,4042.0,20-Feb-20,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,12.1,3910,4150,4030.0,12-Feb-20,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,15,4215,4300,4257.0,23-Jan-20,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,6.8,4600,4700,4650.0,12-Dec-19,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,25.5,4735,4800,4767.0,17-Sep-19,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,2.5,4500,4500,4500.0,30-Aug-19,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,10.2,4700,4800,4750.0,06-Aug-19,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,5.5,4300,4600,4450.0,04-Aug-19,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,25.6,4440,4500,4470.0,12-Jul-19,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,6,4625,4675,4650.0,08-Jul-19,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,10.2,5010,5019,5014.0,14-May-19,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,16.3,5000,5010,5007.0,13-May-19,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,1,1800,1800,1800.0,29-Mar-19,Ahar-Dal-Tur-Dal
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,20,4011,4041,4026.0,08-Jan-19,Ahar-Dal-Tur-Dal
Madhya Pradesh,Morena,Ambaha,Arhar Dal(Tur),Pulses,14.4,1858,1900,1860.0,30-Sep-19,Ahar-Dal-Tur-Dal
Madhya Pradesh,Shivpuri,Badarwas,Arhar Dal(Tur),Pulses,0.1,3845,3845,3845.0,16-Jan-19,Ahar-Dal-Tur-Dal
Madhya Pradesh,Shivpuri,Badarwas,Arhar Dal(Tur),Pulses,0.9,3518,3612,3565.0,04-Jan-19,Ahar-Dal-Tur-Dal
