State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,crop
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,8.5,5800.0,5850.0,5820.0,14-Dec-23,Alsande Gram
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,9.9,5800.0,5850.0,5820.0,13-Dec-23,Alsande Gram
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,8.5,5800.0,5820.0,5810.0,12-Dec-23,Alsande Gram
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,10,5900.0,6000.0,5950.0,29-Nov-23,Alsande Gram
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,7,5900.0,6000.0,5960.0,28-Nov-23,Alsande Gram
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,8,5900.0,6020.0,6000.0,10-Nov-23,Alsande Gram
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,13.4,6000.0,6100.0,6050.0,04-Nov-23,Alsande Gram
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,10.2,6050.0,6100.0,6080.0,02-Nov-23,Alsande Gram
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,5,6050.0,6100.0,6080.0,01-Nov-23,Alsande Gram
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,5.4,5900.0,6000.0,5950.0,30-Oct-23,Alsande Gram
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,2.8,5750.0,5800.0,5800.0,26-Oct-23,Alsande Gram
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,7.6,5800.0,5900.0,5820.0,25-Oct-23,Alsande Gram
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,11.4,5900.0,5950.0,5940.0,13-Oct-23,Alsande Gram
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,10.3,5900.0,5950.0,5940.0,12-Oct-23,Alsande Gram
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,11.5,5850.0,5900.0,5880.0,11-Oct-23,Alsande Gram
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,9.5,5800.0,5960.0,5900.0,10-Oct-23,Alsande Gram
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,9.4,5700.0,5810.0,5800.0,09-Oct-23,Alsande Gram
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,3,5800.0,5800.0,5800.0,07-Oct-23,Alsande Gram
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,7,6000.0,6020.0,6010.0,27-Sep-23,Alsande Gram
