State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,crop
Madhya Pradesh,Panna,Ajaygarh,Black Gram Dal,Pulses,2.5,6500.0,6600.0,6600.0,16-Dec-23,Black Gram Dal- Urd Dal
Madhya Pradesh,Panna,Ajaygarh,Black Gram Dal,Pulses,2.61,2000.0,2510.0,2500.0,07-Nov-22,Black Gram Dal- Urd Dal
Madhya Pradesh,Panna,Ajaygarh,Black Gram Dal,Pulses,3.0,5100.0,5150.0,5150.0,06-Oct-22,Black Gram Dal- Urd Dal
Madhya Pradesh,Panna,Ajaygarh,Black Gram Dal,Pulses,2.5,5000.0,5000.0,5000.0,07-Feb-22,Black Gram Dal- Urd Dal
Madhya Pradesh,Panna,Ajaygarh,Black Gram Dal,Pulses,5.7,5600.0,5700.0,5650.0,09-Feb-21,Black Gram Dal- Urd Dal
Madhya Pradesh,Panna,Ajaygarh,Black Gram Dal,Pulses,5.8,4700.0,4900.0,4780.0,27-Feb-20,Black Gram Dal- Urd Dal
Madhya Pradesh,Panna,Ajaygarh,Black Gram Dal,Pulses,11.5,5000.0,5800.0,5050.0,17-Dec-19,Black Gram Dal- Urd Dal
Madhya Pradesh,Panna,Ajaygarh,Black Gram Dal,Pulses,3.0,3750.0,5680.0,3800.0,24-Jun-19,Black Gram Dal- Urd Dal
Madhya Pradesh,Panna,Ajaygarh,Black Gram Dal,Pulses,10.7,3600.0,5600.0,3620.0,29-Mar-19,Black Gram Dal- Urd Dal
Madhya Pradesh,Khargone,Badwaha,Black Gram Dal,Pulses,0.2,3675.0,3675.0,3675.0,25-Feb-18,Black Gram Dal- Urd Dal
Madhya Pradesh,Dewas,Bagli,Black Gram Dal,Pulses,2.1,2050.0,2050.0,2050.0,07-Jan-22,Black Gram Dal- Urd Dal
Madhya Pradesh,Dewas,Bagli,Black Gram Dal,Pulses,0.1,2603.0,2603.0,2603.0,18-Nov-21,Black Gram Dal- Urd Dal
Madhya Pradesh,Dewas,Bagli,Black Gram Dal,Pulses,2.2,3250.0,3450.0,3328.0,25-Oct-21,Black Gram Dal- Urd Dal
Madhya Pradesh,Dewas,Bagli,Black Gram Dal,Pulses,0.26,3900.0,3900.0,3900.0,21-Oct-21,Black Gram Dal- Urd Dal
Madhya Pradesh,Dewas,Bagli,Black Gram Dal,Pulses,0.8,3500.0,4000.0,3562.0,19-Oct-21,Black Gram Dal- Urd Dal
Madhya Pradesh,Chhatarpur,Bakswaha,Black Gram Dal,Pulses,5.0,3600.0,3600.0,3600.0,24-Nov-21,Black Gram Dal- Urd Dal
Madhya Pradesh,Chhatarpur,Bakswaha,Black Gram Dal,Pulses,0.6,3900.0,4100.0,4000.0,26-May-19,Black Gram Dal- Urd Dal
Madhya Pradesh,Chhatarpur,Bakswaha,Black Gram Dal,Pulses,43.28,3900.0,4100.0,4000.0,21-May-19,Black Gram Dal- Urd Dal
Madhya Pradesh,Chhatarpur,Bakswaha,Black Gram Dal,Pulses,14.0,2300.0,2500.0,2400.0,12-Jul-18,Black Gram Dal- Urd Dal
Madhya Pradesh,Raisen,Bareli,Black Gram Dal,Pulses,0.1,4701.0,4701.0,4701.0,19-Jul-21,Black Gram Dal- Urd Dal
Madhya Pradesh,Raisen,Bareli,Black Gram Dal,Pulses,1.6,3900.0,4231.0,4066.0,19-Jan-21,Black Gram Dal- Urd Dal
Madhya Pradesh,Raisen,Bareli,Black Gram Dal,Pulses,0.1,5400.0,5400.0,5400.0,14-Nov-19,Black Gram Dal- Urd Dal
