State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,crop
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,3.0,600,600,600.0,27-Sep-23,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2.0,500,500,500.0,25-Mar-23,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,3.0,600,600,600.0,17-Nov-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,3.0,700,700,700.0,15-Nov-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2.0,600,600,600.0,24-Oct-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,3.0,700,700,700.0,17-Oct-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2.0,600,600,600.0,09-Aug-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1.0,600,600,600.0,18-Jun-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1.0,700,700,700.0,06-Jun-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1.0,600,600,600.0,05-Jun-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,4.0,700,700,700.0,04-Jun-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,3.0,600,600,600.0,28-May-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,3.0,600,600,600.0,27-May-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,3.0,600,600,600.0,24-May-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,4.0,600,600,600.0,22-May-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,4.0,600,600,600.0,21-May-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,4.0,600,600,600.0,16-May-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,3.0,700,700,700.0,15-May-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2.0,600,600,600.0,14-May-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2.5,600,600,600.0,03-May-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2.5,600,600,600.0,02-May-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2.0,700,700,700.0,01-May-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2.0,800,800,800.0,19-Apr-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,3.0,700,700,700.0,11-Apr-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1.0,700,700,700.0,09-Apr-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1.0,600,600,600.0,07-Apr-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2.0,700,700,700.0,06-Apr-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2.0,600,600,600.0,29-Mar-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2.0,700,700,700.0,24-Mar-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1.0,700,700,700.0,23-Mar-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2.0,600,600,600.0,22-Mar-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2.0,620,620,620.0,21-Mar-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2.0,600,600,600.0,15-Mar-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1.0,700,700,700.0,14-Mar-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2.0,700,700,700.0,13-Mar-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2.0,700,700,700.0,11-Mar-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1.0,600,600,600.0,10-Mar-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,3.0,610,610,610.0,09-Mar-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2.0,600,600,600.0,08-Mar-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1.0,600,600,600.0,04-Mar-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2.0,620,620,620.0,02-Mar-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2.0,600,600,600.0,01-Mar-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2.0,600,600,600.0,28-Feb-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2.0,700,700,700.0,24-Feb-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1.0,600,600,600.0,23-Feb-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2.0,600,600,600.0,22-Feb-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,3.0,600,600,600.0,17-Feb-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2.0,600,600,600.0,14-Feb-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.9,600,700,600.0,01-Feb-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2.0,800,800,800.0,26-Jan-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2.0,600,600,600.0,25-Jan-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2.2,600,800,610.0,24-Jan-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1.7,600,605,600.0,23-Jan-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1.0,600,600,600.0,22-Jan-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.7,600,600,600.0,21-Jan-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.8,600,600,600.0,20-Jan-22,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.8,700,700,700.0,13-Dec-21,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.9,600,700,700.0,16-Nov-21,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.2,600,600,600.0,10-Nov-21,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1.0,800,800,800.0,09-Nov-21,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.8,600,600,600.0,16-Apr-21,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.7,600,600,600.0,15-Apr-21,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.7,700,700,700.0,14-Apr-21,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.7,600,610,610.0,13-Apr-21,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1.0,600,700,650.0,09-Apr-21,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1.8,600,700,650.0,08-Apr-21,Bottle gourd
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.4,600,600,600.0,07-Apr-21,Bottle gourd
