State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,crop
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,3.0,600,600.0,600.0,17-Nov-22,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,3.0,700,700.0,700.0,16-Nov-22,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,2.0,700,700.0,700.0,24-Oct-22,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,2.0,700,700.0,700.0,20-Oct-22,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,2.0,800,800.0,800.0,06-Jun-22,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,1.0,800,800.0,800.0,20-Apr-22,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,2.5,800,800.0,800.0,18-Apr-22,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,1.0,700,700.0,700.0,04-Apr-22,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,3.0,800,800.0,800.0,30-Mar-22,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,2.0,700,700.0,700.0,08-Mar-22,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,1.0,700,700.0,700.0,06-Mar-22,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,2.0,700,700.0,700.0,05-Mar-22,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,1.0,600,600.0,600.0,02-Mar-22,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,1.5,750,750.0,750.0,27-Feb-22,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,1.0,800,800.0,800.0,24-Feb-22,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,1.6,600,650.0,600.0,01-Feb-22,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,1.0,600,600.0,600.0,26-Jan-22,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,0.1,800,800.0,800.0,23-Jan-22,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,2.0,800,800.0,800.0,22-Nov-21,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,0.8,700,700.0,700.0,17-Nov-21,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,1.3,750,805.0,805.0,16-Nov-21,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,1.2,710,710.0,710.0,15-Nov-21,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,1.0,800,800.0,800.0,14-Nov-21,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,1.0,800,800.0,800.0,12-Nov-21,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,1.2,800,800.0,800.0,11-Nov-21,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,1.6,800,800.0,800.0,09-Nov-21,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,0.3,810,810.0,810.0,26-Feb-21,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,0.2,1000,1000.0,1000.0,01-Feb-21,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,1.3,1000,1000.0,1000.0,30-Jan-21,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,0.2,980,980.0,980.0,24-Jan-21,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,0.4,700,700.0,700.0,20-Sep-20,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,0.3,900,900.0,900.0,02-Sep-20,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,0.2,1000,1000.0,1000.0,01-Sep-20,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,0.3,1000,1000.0,1000.0,31-Aug-20,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,0.4,1000,1000.0,1000.0,29-Aug-20,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,0.4,900,900.0,900.0,26-Aug-20,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,0.5,1000,1000.0,1000.0,22-Aug-20,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,0.3,1000,1000.0,1000.0,20-Aug-20,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,0.1,1200,1200.0,1200.0,19-Aug-20,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,0.7,800,800.0,800.0,19-Mar-20,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,0.8,800,800.0,800.0,18-Mar-20,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,0.9,500,800.0,500.0,16-Mar-20,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,0.5,1000,1000.0,1000.0,15-Mar-20,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,0.5,800,800.0,800.0,13-Mar-20,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,1.1,500,600.0,500.0,09-Mar-20,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,0.5,700,700.0,700.0,08-Mar-20,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,1.3,500,800.0,500.0,07-Mar-20,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,0.7,800,1000.0,1000.0,06-Mar-20,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,0.7,500,500.0,500.0,04-Mar-20,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,1.0,800,800.0,800.0,03-Mar-20,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,0.9,700,800.0,700.0,02-Mar-20,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,1.3,800,800.0,800.0,01-Mar-20,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,0.9,800,800.0,800.0,29-Feb-20,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,1.2,500,800.0,500.0,28-Feb-20,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,1.0,500,800.0,800.0,26-Feb-20,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,1.1,500,800.0,500.0,25-Feb-20,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,1.1,700,700.0,700.0,24-Feb-20,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,1.3,500,700.0,700.0,23-Feb-20,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,1.6,500,700.0,700.0,22-Feb-20,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,0.9,800,800.0,800.0,19-Feb-20,Cabbage
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,1.8,500,800.0,800.0,18-Feb-20,Cabbage
