State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,crop
Madhya Pradesh,Chhindwara,Chhindwara,Cinamon(Dalchini),Spices,2.1,3500,3500,3500,31-Oct-23,Cinamon-Dalchini
Madhya Pradesh,Chhindwara,Chhindwara,Other,Spices,5.2,3550,3550,3550,02-Oct-23,Cinamon-Dalchini
Madhya Pradesh,Chhindwara,Chhindwara,Other,Spices,3.0,3000,3000,3000,02-Aug-23,Cinamon-Dalchini
Madhya Pradesh,Chhindwara,Chhindwara,Other,Spices,5.4,3400,3400,3400,31-Jul-23,Cinamon-Dalchini
Madhya Pradesh,Chhindwara,Chhindwara,Other,Spices,7.0,3300,3331,3331,30-Jun-23,Cinamon-Dalchini
Madhya Pradesh,Chhindwara,Chhindwara,Other,Spices,10.0,3400,3400,3400,23-Jun-23,Cinamon-Dalchini
Madhya Pradesh,Chhindwara,Chhindwara,Other,Spices,13.5,3375,3400,3380,15-Jun-23,Cinamon-Dalchini
Madhya Pradesh,Chhindwara,Chhindwara,Other,Spices,8.5,3400,3400,3400,06-Jun-23,Cinamon-Dalchini
Madhya Pradesh,Chhindwara,Chhindwara,Other,Spices,19.5,3350,3450,3375,05-Jun-23,Cinamon-Dalchini
Madhya Pradesh,Chhindwara,Chhindwara,Cinamon(Dalchini),Spices,28.6,3665,3675,3666,15-May-23,Cinamon-Dalchini
