State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,crop
Madhya Pradesh,Shajapur,Agar,Coriander,Vegetables,2.83,6199.0,6799.0,6501.0,30-Dec-23,Coriander-Leaves
Madhya Pradesh,Shajapur,Agar,Coriander,Vegetables,6.43,6000.0,7201.0,6000.0,29-Dec-23,Coriander-Leaves
Madhya Pradesh,Shajapur,Agar,Coriander,Vegetables,5.39,5801.0,7281.0,5801.0,28-Dec-23,Coriander-Leaves
Madhya Pradesh,Shajapur,Agar,Coriander,Vegetables,6.15,5700.0,7100.0,6200.0,27-Dec-23,Coriander-Leaves
Madhya Pradesh,Shajapur,Agar,Coriander,Vegetables,6.72,2712.0,7299.0,2712.0,22-Dec-23,Coriander-Leaves
Madhya Pradesh,Shajapur,Agar,Coriander,Vegetables,4.56,5300.0,6900.0,5300.0,21-Dec-23,Coriander-Leaves
Madhya Pradesh,Ashoknagar,Ashoknagar,Coriander,Vegetables,10.95,4400.0,6330.0,4400.0,30-Dec-23,Coriander-Leaves
Madhya Pradesh,Ashoknagar,Ashoknagar,Coriander,Vegetables,19.55,2720.0,6522.0,2720.0,29-Dec-23,Coriander-Leaves
Madhya Pradesh,Ashoknagar,Ashoknagar,Coriander,Vegetables,35.04,4680.0,6710.0,5250.0,28-Dec-23,Coriander-Leaves
Madhya Pradesh,Ashoknagar,Ashoknagar,Coriander,Vegetables,37.27,5170.0,6790.0,5450.0,27-Dec-23,Coriander-Leaves
Madhya Pradesh,Ashoknagar,Ashoknagar,Coriander,Vegetables,20.49,5460.0,6670.0,6010.0,26-Dec-23,Coriander-Leaves
Madhya Pradesh,Ashoknagar,Ashoknagar,Coriander,Vegetables,6.17,5600.0,6300.0,5600.0,22-Dec-23,Coriander-Leaves
Madhya Pradesh,Ashoknagar,Ashoknagar,Coriander,Vegetables,26.76,4960.0,6710.0,5790.0,21-Dec-23,Coriander-Leaves
Madhya Pradesh,Shivpuri,Badarwas,Coriander,Vegetables,0.46,5600.0,5600.0,5600.0,28-Dec-23,Coriander-Leaves
Madhya Pradesh,Shivpuri,Badarwas,Coriander,Vegetables,0.55,5810.0,5810.0,5810.0,26-Dec-23,Coriander-Leaves
Madhya Pradesh,Shivpuri,Badarwas,Coriander,Vegetables,0.27,5900.0,5900.0,5900.0,22-Dec-23,Coriander-Leaves
Madhya Pradesh,Shivpuri,Barad,Coriander,Vegetables,0.12,2000.0,2000.0,2000.0,27-Jan-22,Coriander-Leaves
Madhya Pradesh,Shivpuri,Barad,Coriander,Vegetables,0.07,1000.0,1500.0,1000.0,20-Jan-22,Coriander-Leaves
Madhya Pradesh,Shivpuri,Barad,Coriander,Vegetables,0.06,1000.0,2000.0,1500.0,30-Dec-21,Coriander-Leaves
Madhya Pradesh,Shivpuri,Barad,Coriander,Vegetables,0.03,1000.0,2000.0,1500.0,29-Dec-21,Coriander-Leaves
Madhya Pradesh,Shivpuri,Barad,Coriander,Vegetables,0.02,2000.0,2000.0,2000.0,28-Dec-21,Coriander-Leaves
Madhya Pradesh,Shivpuri,Barad,Coriander,Vegetables,0.13,1500.0,2000.0,1600.0,27-Dec-21,Coriander-Leaves
Madhya Pradesh,Shivpuri,Barad,Coriander,Vegetables,0.07,2000.0,2500.0,2000.0,24-Dec-21,Coriander-Leaves
Madhya Pradesh,Shivpuri,Barad,Coriander,Vegetables,0.07,2000.0,3000.0,2500.0,23-Dec-21,Coriander-Leaves
Madhya Pradesh,Shivpuri,Barad,Coriander,Vegetables,0.07,2500.0,3000.0,2500.0,21-Dec-21,Coriander-Leaves
Madhya Pradesh,Shivpuri,Barad,Coriander,Vegetables,0.08,2500.0,3000.0,2500.0,20-Dec-21,Coriander-Leaves
Madhya Pradesh,Shivpuri,Barad,Coriander,Vegetables,0.1,2000.0,3000.0,2000.0,19-Dec-21,Coriander-Leaves
Madhya Pradesh,Shivpuri,Barad,Coriander,Vegetables,0.03,1500.0,2000.0,1500.0,18-Dec-21,Coriander-Leaves
Madhya Pradesh,Shivpuri,Barad,Coriander,Vegetables,0.06,1500.0,2000.0,1500.0,16-Dec-21,Coriander-Leaves
Madhya Pradesh,Shivpuri,Barad,Coriander,Vegetables,0.11,1500.0,3000.0,2000.0,15-Dec-21,Coriander-Leaves
Madhya Pradesh,Shivpuri,Barad,Coriander,Vegetables,0.08,1500.0,2000.0,1500.0,14-Dec-21,Coriander-Leaves
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.4,2000.0,3500.0,3000.0,19-Oct-21,Coriander-Leaves
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,1.2,1200.0,1500.0,1300.0,21-Aug-21,Coriander-Leaves
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.5,1000.0,2000.0,1500.0,12-Jul-21,Coriander-Leaves
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.2,1000.0,1200.0,1000.0,28-May-21,Coriander-Leaves
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.3,800.0,1400.0,1200.0,27-May-21,Coriander-Leaves
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.1,1200.0,1800.0,1600.0,26-May-21,Coriander-Leaves
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.2,1000.0,2000.0,1500.0,25-May-21,Coriander-Leaves
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.1,1000.0,1200.0,1100.0,21-May-21,Coriander-Leaves
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.5,1200.0,1400.0,1300.0,20-May-21,Coriander-Leaves
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.3,1200.0,1600.0,1400.0,19-May-21,Coriander-Leaves
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.5,1400.0,1800.0,1500.0,18-May-21,Coriander-Leaves
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.1,500.0,500.0,500.0,24-Mar-21,Coriander-Leaves
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,2.0,400.0,500.0,500.0,23-Mar-21,Coriander-Leaves
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.2,500.0,500.0,500.0,21-Mar-21,Coriander-Leaves
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.3,400.0,600.0,450.0,20-Mar-21,Coriander-Leaves
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,2.0,400.0,600.0,500.0,18-Mar-21,Coriander-Leaves
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,1.3,400.0,1000.0,800.0,17-Mar-21,Coriander-Leaves
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.2,1000.0,1000.0,1000.0,14-Mar-21,Coriander-Leaves
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,1.3,400.0,600.0,500.0,13-Mar-21,Coriander-Leaves
