State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Seoni,Lakhnadon,Other,Cereals,15.9,3500,3500,3500,6-Oct-23
Madhya Pradesh,Seoni,Lakhnadon,Other,Cereals,19,3950,4008,3950,27-Sep-23
Madhya Pradesh,Seoni,Lakhnadon,Other,Cereals,16.4,3115,3420,3420,8-Sep-23
Madhya Pradesh,Seoni,Lakhnadon,Other,Cereals,12,3700,3900,3900,19-Jul-23
Madhya Pradesh,Seoni,Lakhnadon,Other,Cereals,12.6,4000,4005,4005,12-Jul-23
Madhya Pradesh,Seoni,Lakhnadon,Other,Cereals,27.9,3381,3611,3611,5-Jul-23
Madhya Pradesh,Seoni,Lakhnadon,Other,Cereals,10,3500,3517,3517,2-Jul-23
Madhya Pradesh,Seoni,Lakhnadon,Other,Cereals,12,3100,3150,3150,10-Jun-23
Madhya Pradesh,Seoni,Lakhnadon,Other,Cereals,12,3500,3700,3700,8-Jun-23
Madhya Pradesh,Seoni,Lakhnadon,Other,Cereals,8.1,3050,3100,3100,16-May-23
Madhya Pradesh,Seoni,Lakhnadon,Other,Cereals,12,3500,3800,3800,27-Apr-23
Madhya Pradesh,Seoni,Lakhnadon,Other,Cereals,10,3800,3805,3805,25-Apr-23
Madhya Pradesh,Seoni,Lakhnadon,Other,Cereals,29.3,3105,3511,3395,17-Jun-22
Madhya Pradesh,Seoni,Lakhnadon,Other,Cereals,11,2700,3000,2800,11-Jun-22
Madhya Pradesh,Seoni,Lakhnadon,Other,Cereals,9,4000,4000,4000,31-May-22
Madhya Pradesh,Seoni,Lakhnadon,Other,Cereals,18.2,3500,3520,3515,26-Apr-22
Madhya Pradesh,Seoni,Lakhnadon,Other,Cereals,25.6,3401,3425,3415,18-Apr-22
Madhya Pradesh,Seoni,Lakhnadon,Other,Cereals,19.2,3490,3510,3500,7-Apr-22
Madhya Pradesh,Seoni,Lakhnadon,Other,Cereals,21,3100,3300,3250,5-Apr-22
Madhya Pradesh,Seoni,Lakhnadon,Other,Cereals,35.5,3005,3135,3075,2-Apr-22
Madhya Pradesh,Seoni,Lakhnadon,Other,Cereals,20.5,3051,3220,3220,31-Mar-22
Madhya Pradesh,Seoni,Lakhnadon,Other,Cereals,20,3500,3505,3501,9-Mar-22
Madhya Pradesh,Seoni,Lakhnadon,Other,Cereals,20,3200,3250,3225,20-Feb-22
Madhya Pradesh,Seoni,Lakhnadon,Other,Cereals,50.5,3001,3211,3120,12-Feb-22
Madhya Pradesh,Seoni,Lakhnadon,Other,Cereals,4.5,3000,3000,3000,3-Feb-22
Madhya Pradesh,Seoni,Lakhnadon,Other,Cereals,21.5,3300,3500,3400,31-Jan-22
Madhya Pradesh,Seoni,Lakhnadon,Other,Cereals,30.2,3950,4950,4350,13-Jan-22
Madhya Pradesh,Seoni,Lakhnadon,Other,Cereals,2,1411,1425,1415,14-Sep-19
Madhya Pradesh,Seoni,Lakhnadon,Other,Cereals,17.5,2544,2709,2600,11-Sep-19
