State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,1,2000,4000,3000,14-Dec-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,1,2000,4000,3000,3-Dec-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,1,2000,4000,3000,21-Nov-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,1.5,1500,3000,2000,19-Nov-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,2,1000,3000,2000,18-Nov-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,3.5,2000,5000,3000,14-Nov-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,3.5,3000,5000,4000,9-Nov-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,2,2000,6000,4000,8-Nov-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,1,2000,6000,4000,7-Nov-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,2,2000,6000,4000,6-Nov-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,2,2000,6000,4000,3-Nov-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,1,2000,6000,3000,2-Nov-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,1,2000,5000,3000,1-Nov-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,1,2000,5000,3000,30-Oct-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,2,2000,5000,3000,29-Oct-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,1,2000,5000,3000,27-Oct-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,1,2000,6000,4000,23-Oct-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,4,2000,5000,3000,22-Oct-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,1.5,2000,6000,4000,21-Oct-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,2,2000,6000,4000,19-Oct-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,2,2000,6000,4000,18-Oct-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,3,2000,6000,4000,17-Oct-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,2,2000,6000,4000,16-Oct-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,2,2000,5000,3000,15-Oct-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,2,2000,4000,3000,14-Sep-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,3,1000,1500,1200,18-Nov-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,2,1000,1600,1200,17-Nov-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,2,1000,1600,1200,16-Nov-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,2,1000,1600,1200,15-Nov-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,2,1000,1800,1400,13-Nov-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,5,1000,1800,1300,12-Nov-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,2,1000,2000,1400,9-Nov-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,3,1000,2000,1400,8-Nov-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,1,1000,2000,1400,7-Nov-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,7,1000,2000,1400,6-Nov-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,2,1000,2000,1400,5-Nov-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,4,1000,2000,1500,4-Nov-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,12,1000,2000,1500,3-Nov-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,6,1200,2000,1500,2-Nov-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,12,1200,2000,1500,1-Nov-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,2,1200,2000,1500,31-Oct-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,0.5,1200,2000,1500,30-Oct-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,5,1500,2500,2000,29-Oct-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,4,1500,2500,2000,28-Oct-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,9,2000,3000,2500,27-Oct-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,4,1200,2000,1500,26-Oct-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,10,1200,2000,1500,25-Oct-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,5,1200,2000,1500,24-Oct-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,8,1500,2500,2000,23-Oct-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,4,1500,2500,2000,22-Oct-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,15,2000,3000,2500,21-Oct-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,11,2000,3000,2500,20-Oct-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,8,1500,2500,2000,19-Oct-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,9,1500,2500,2000,18-Oct-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,9,1500,2500,2000,17-Oct-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,2,2000,3000,2500,16-Oct-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,7.2,2000,3000,2500,15-Oct-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,7,2000,3000,2500,13-Oct-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,9,2000,3000,2500,12-Oct-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,2,2000,3000,2500,11-Oct-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,1.5,800,1800,1200,31-Oct-21
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,1.5,1000,1800,1200,28-Oct-21
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,2,800,1800,1400,26-Oct-21
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,1.8,1200,1800,1500,25-Oct-21
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,1.4,800,1800,1400,24-Oct-21
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,3,1000,1600,1200,22-Oct-21
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,4,1000,1800,1200,21-Oct-21
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,0.5,1000,1800,1400,20-Oct-21
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,4.5,800,2000,1200,19-Oct-21
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,4.5,800,2000,1200,18-Oct-21
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,1.6,1200,1800,1400,17-Oct-21
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,1,1000,1800,1400,15-Oct-21
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,2.5,1200,2000,1500,12-Oct-21
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,2.5,1200,1800,1500,11-Oct-21
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,1.5,1000,2000,1300,10-Oct-21
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,2,1200,2000,1500,9-Oct-21
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,1,1200,1800,1400,8-Oct-21
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,2,1200,1800,1500,30-Nov-19
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,3,1200,1800,1500,29-Nov-19
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,4,1500,2000,1800,27-Nov-19
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,2,1000,1500,1200,26-Nov-19
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,5.5,1500,2000,1800,25-Nov-19
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,3,1200,1800,1500,24-Nov-19
