State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Badwani,Badwani,Soanf,Spices,9.81,6000,15000,10000,31-Dec-23
Madhya Pradesh,Badwani,Badwani,Soanf,Spices,2.1,6000,13000,6000,24-Dec-23
Madhya Pradesh,Badwani,Badwani,Other,Spices,6.4,5000,6500,5000,18-Dec-23
Madhya Pradesh,Badwani,Badwani,Other,Spices,0.25,7500,9500,9500,17-Dec-23
Madhya Pradesh,Badwani,Badwani,Other,Spices,10.02,10000,20000,13000,5-Dec-23
Madhya Pradesh,Badwani,Badwani,Other,Spices,18,8000,15000,9000,23-Oct-23
Madhya Pradesh,Badwani,Badwani,Other,Spices,5.5,8000,12000,12000,20-Oct-23
Madhya Pradesh,Badwani,Badwani,Other,Spices,5,13500,18500,17200,23-Jun-23
Madhya Pradesh,Badwani,Badwani,Other,Spices,9.67,14000,16000,14800,17-May-23
Madhya Pradesh,Badwani,Badwani,Other,Spices,11.02,12800,20000,13200,7-May-23
Madhya Pradesh,Badwani,Badwani,Other,Spices,7.39,6000,10500,9500,30-Apr-23
Madhya Pradesh,Badwani,Badwani,Other,Spices,31.52,8000,20000,10000,23-Apr-23
Madhya Pradesh,Badwani,Badwani,Other,Spices,1.3,9000,9000,9000,20-Apr-23
Madhya Pradesh,Badwani,Badwani,Other,Spices,65.5,7000,15000,9000,16-Apr-23
Madhya Pradesh,Badwani,Badwani,Other,Spices,8.1,7900,8500,7900,13-Apr-23
Madhya Pradesh,Badwani,Badwani,Other,Spices,107.34,8000,20000,16000,9-Apr-23
Madhya Pradesh,Badwani,Badwani,Other,Spices,10,7500,8100,7500,6-Apr-23
Madhya Pradesh,Badwani,Badwani,Other,Spices,106.41,5800,20000,10000,2-Apr-23
Madhya Pradesh,Badwani,Badwani,Other,Spices,94.14,8500,18000,10000,26-Mar-23
Madhya Pradesh,Badwani,Badwani,Other,Spices,6.72,8500,9500,8500,23-Mar-23
Madhya Pradesh,Badwani,Badwani,Other,Spices,15.37,8000,10000,8000,21-Mar-23
Madhya Pradesh,Badwani,Badwani,Other,Spices,113.41,7800,18000,10000,19-Mar-23
Madhya Pradesh,Badwani,Badwani,Other,Spices,1.72,9000,9000,9000,16-Mar-23
Madhya Pradesh,Badwani,Badwani,Other,Spices,15.69,10000,13000,10000,15-Mar-23
Madhya Pradesh,Badwani,Badwani,Other,Spices,5.4,5000,11000,11000,14-Mar-23
Madhya Pradesh,Badwani,Badwani,Other,Spices,4.07,16800,17200,17000,12-Mar-23
Madhya Pradesh,Badwani,Badwani,Other,Spices,53.26,7500,18000,11000,5-Mar-23
Madhya Pradesh,Badwani,Badwani,Other,Spices,9.88,8700,9500,9000,2-Mar-23
Madhya Pradesh,Badwani,Badwani,Other,Spices,85.79,7500,18000,10000,26-Feb-23
Madhya Pradesh,Badwani,Badwani,Other,Spices,4.75,8350,8650,8350,21-Feb-23
Madhya Pradesh,Badwani,Badwani,Other,Spices,87.18,7500,17300,13200,19-Feb-23
Madhya Pradesh,Badwani,Badwani,Other,Spices,8.18,8000,9000,8000,16-Feb-23
Madhya Pradesh,Badwani,Badwani,Other,Spices,131.41,7500,15500,13000,12-Feb-23
Madhya Pradesh,Badwani,Badwani,Other,Spices,4.19,8500,9000,9000,9-Feb-23
Madhya Pradesh,Badwani,Badwani,Other,Spices,75.97,5500,15500,9000,5-Feb-23
Madhya Pradesh,Badwani,Badwani,Other,Spices,1.55,8000,8500,8000,2-Feb-23
Madhya Pradesh,Badwani,Badwani,Other,Spices,68.47,8000,15100,12000,29-Jan-23
Madhya Pradesh,Badwani,Badwani,Other,Spices,49.79,7500,18000,10500,22-Jan-23
Madhya Pradesh,Badwani,Badwani,Other,Spices,7.78,8300,11000,10500,19-Jan-23
Madhya Pradesh,Badwani,Badwani,Other,Spices,25.09,8000,15000,10000,15-Jan-23
Madhya Pradesh,Badwani,Badwani,Other,Spices,43.38,7000,17500,10000,8-Jan-23
Madhya Pradesh,Badwani,Badwani,Other,Spices,30.56,6000,15000,11000,1-Jan-23
Madhya Pradesh,Badwani,Badwani,Other,Spices,5.1,6500,9000,6500,30-Dec-22
Madhya Pradesh,Badwani,Badwani,Other,Spices,13.7,6300,13000,12000,25-Dec-22
Madhya Pradesh,Badwani,Badwani,Other,Spices,3.34,8000,9500,9000,17-Jul-22
Madhya Pradesh,Badwani,Badwani,Other,Spices,20.5,6000,7500,6000,16-Jun-22
Madhya Pradesh,Badwani,Badwani,Other,Spices,6.12,5000,6000,5000,31-May-22
Madhya Pradesh,Badwani,Badwani,Other,Spices,0.02,5000,8200,5600,26-Apr-22
Madhya Pradesh,Badwani,Badwani,Other,Spices,51.1,5000,8200,5600,24-Apr-22
Madhya Pradesh,Badwani,Badwani,Other,Spices,45.48,5000,10000,7500,23-Apr-22
Madhya Pradesh,Badwani,Badwani,Other,Spices,5.81,6000,9000,6000,19-Apr-22
Madhya Pradesh,Badwani,Badwani,Other,Spices,57.17,5200,12700,6000,17-Apr-22
